,,,,,,,,,,,,,,,,,,
운중동 ( 경기 성남시 분당구 운중동 935 운중동주민센터 ),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
날짜,통합대기환경지수,,,PM10,,,PM2.5,,,오존,,이산화질소,,일산화탄소,,아황산가스,,"최종확정
여 부"
(년-월-일:시),,,,(㎍/㎥),,,(㎍/㎥),,,(ppm),,(ppm),,(ppm),,(ppm),,
,주오염물질,등급,지수,1시간,24시간,등급,1시간,24시간,등급,1시간,등급,1시간,등급,1시간,등급,1시간,등급,
2017-05-21:17,오존,보통,71,31,35,보통,14,16,보통,0.055,보통,0.012,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:16,오존,보통,72,39,35,보통,21,17,보통,0.056,보통,0.012,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:15,오존,보통,75,35,34,보통,13,17,보통,0.060,보통,0.012,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:14,오존,보통,74,39,34,보통,20,17,보통,0.059,보통,0.014,좋음,0.3,좋음,0.004,좋음,N
2017-05-21:13,오존,보통,75,36,32,보통,18,16,보통,0.060,보통,0.015,좋음,0.3,좋음,0.004,좋음,N
2017-05-21:12,오존,보통,70,36,31,보통,22,15,좋음,0.054,보통,0.012,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:11,오존,보통,63,39,28,좋음,16,13,좋음,0.046,보통,0.014,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:10,오존,보통,58,28,27,좋음,16,13,좋음,0.039,보통,0.018,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:09,오존,보통,57,32,27,좋음,14,12,좋음,0.038,보통,0.016,좋음,0.3,좋음,0.004,좋음,N
2017-05-21:08,이산화질소,좋음,45,18,25,좋음,7,12,좋음,0.026,좋음,0.027,좋음,0.3,좋음,0.004,좋음,N
2017-05-21:07,이산화질소,보통,56,37,27,좋음,15,13,좋음,0.019,좋음,0.034,보통,0.3,좋음,0.003,좋음,N
2017-05-21:06,오존,보통,51,29,26,좋음,14,13,좋음,0.031,보통,0.020,좋음,0.3,좋음,0.003,좋음,N
2017-05-21:05,오존,좋음,48,19,25,좋음,10,13,좋음,0.029,좋음,0.023,좋음,0.3,좋음,0.002,좋음,N
2017-05-21:04,오존,보통,52,26,26,좋음,16,13,좋음,0.032,보통,0.017,좋음,0.3,좋음,0.002,좋음,N
2017-05-21:03,PM10,좋음,45,27,27,좋음,17,12,좋음,0.025,좋음,0.026,좋음,0.3,좋음,0.002,좋음,N
2017-05-21:02,오존,보통,53,23,27,좋음,12,11,좋음,0.034,보통,0.018,좋음,0.3,좋음,0.002,좋음,N
2017-05-21:01,오존,보통,53,20,29,좋음,7,11,좋음,0.034,보통,0.020,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:24,오존,보통,54,29,31,보통,12,13,좋음,0.035,보통,0.023,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:23,오존,보통,57,23,32,보통,9,14,좋음,0.038,보통,0.023,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:22,오존,보통,58,24,35,보통,9,15,좋음,0.039,보통,0.022,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:21,PM10,보통,57,26,37,보통,15,16,보통,0.038,보통,0.030,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:20,오존,보통,63,32,39,보통,16,16,보통,0.046,보통,0.026,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:19,오존,보통,66,34,41,보통,10,16,보통,0.049,보통,0.023,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:18,오존,보통,67,28,43,보통,14,17,보통,0.050,보통,0.023,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:17,오존,보통,69,38,47,보통,13,18,보통,0.053,보통,0.021,좋음,0.3,좋음,0.003,좋음,N
2017-05-20:16,오존,보통,71,46,49,보통,13,19,보통,0.055,보통,0.022,좋음,0.3,좋음,0.004,좋음,N
2017-05-20:15,오존,보통,73,47,48,보통,20,21,보통,0.057,보통,0.023,좋음,0.3,좋음,0.004,좋음,N
2017-05-20:14,오존,보통,71,65,48,보통,21,21,보통,0.055,보통,0.028,좋음,0.3,좋음,0.006,좋음,N
2017-05-20:13,오존,보통,69,55,45,보통,30,22,보통,0.053,보통,0.040,보통,0.4,좋음,0.008,좋음,N
2017-05-20:12,PM10,보통,64,46,44,보통,25,22,보통,0.047,보통,0.032,보통,0.4,좋음,0.005,좋음,N
2017-05-20:11,이산화질소,보통,68,46,43,보통,17,20,보통,0.030,좋음,0.041,보통,0.4,좋음,0.005,좋음,N
2017-05-20:10,이산화질소,보통,85,53,40,보통,29,20,보통,0.021,좋음,0.051,보통,0.5,좋음,0.006,좋음,N
