,dateTime,temperature,humidity,Sharp measured voltage[mv],measurement of certified station
67,2017-05-22 20:00:00,26.209999999999994,40.10333333333334,18.633333333333326,23.0
68,2017-05-22 21:00:00,25.573333333333338,43.1,23.76666666666665,12.0
69,2017-05-22 22:00:00,25.140000000000008,44.38333333333335,23.866666666666674,16.0
70,2017-05-22 23:00:00,24.916666666666664,45.19333333333335,20.600000000000023,15.0
71,2017-05-23 00:00:00,24.77333333333333,46.333333333333336,24.69999999999999,8.0
72,2017-05-23 01:00:00,24.60666666666667,47.38,22.399999999999977,22.0
73,2017-05-23 02:00:00,24.349999999999998,48.626666666666665,19.566666666666663,22.0
74,2017-05-23 03:00:00,24.216666666666676,48.99666666666667,18.166666666666686,21.0
75,2017-05-23 04:00:00,24.04666666666667,49.46999999999999,18.19999999999999,22.0
76,2017-05-23 05:00:00,23.88,49.82000000000001,17.0,20.0
77,2017-05-23 06:00:00,24.00666666666667,49.379999999999995,19.96666666666664,22.0
78,2017-05-23 07:00:00,24.186666666666675,49.19666666666669,22.100000000000023,23.0
79,2017-05-23 08:00:00,24.476666666666677,49.39,27.53333333333336,22.0
80,2017-05-23 09:00:00,24.92666666666668,48.62999999999999,31.23333333333335,22.0
81,2017-05-23 10:00:00,25.43333333333334,48.89999999999999,25.03333333333336,22.0
82,2017-05-23 11:00:00,26.306666666666672,49.173333333333325,31.899999999999977,17.0
83,2017-05-23 12:00:00,26.880000000000006,48.489999999999995,33.30000000000001,27.0
84,2017-05-23 13:00:00,27.19333333333334,49.07000000000001,31.53333333333336,26.0
85,2017-05-23 14:00:00,27.263333333333318,49.80333333333335,32.10000000000002,26.0
86,2017-05-23 15:00:00,27.350000000000005,48.343333333333334,30.23333333333335,18.0
87,2017-05-23 16:00:00,26.793333333333337,50.370000000000005,26.80000000000001,10.0
88,2017-05-23 17:00:00,26.406666666666663,51.803333333333335,27.866666666666674,27.0
89,2017-05-23 18:00:00,26.013333333333332,53.813333333333325,28.23333333333335,20.0
90,2017-05-23 19:00:00,25.36,57.73333333333333,26.69999999999999,18.0
91,2017-05-23 20:00:00,25.180000000000003,57.51666666666665,28.0,37.0
92,2017-05-23 21:00:00,24.999999999999996,57.92333333333333,26.26666666666665,17.0
93,2017-05-23 22:00:00,24.829999999999988,58.57666666666667,28.96666666666664,18.0
94,2017-05-23 23:00:00,24.600000000000005,59.973333333333336,25.100000000000023,16.0
95,2017-05-24 00:00:00,24.55333333333334,59.56333333333332,25.133333333333326,11.0
97,2017-05-24 02:00:00,24.456666666666656,61.1,25.100000000000023,20.0
98,2017-05-24 03:00:00,24.113333333333347,63.873333333333335,33.43333333333334,18.0
99,2017-05-24 04:00:00,24.103333333333342,62.153333333333336,25.166666666666686,19.0
100,2017-05-24 05:00:00,24.02,60.893333333333324,27.566666666666663,14.0
101,2017-05-24 06:00:00,24.033333333333342,60.16666666666667,22.833333333333314,18.0
102,2017-05-24 07:00:00,24.199999999999996,59.71,24.76666666666665,14.0
103,2017-05-24 08:00:00,24.47666666666667,58.83333333333332,29.399999999999977,14.0
